ALPHA,Park Name,State,Region,Welcome Letter,CFP Park,Date Cert.,Acreage,Visitation,,
MIMI,Minuteman Missile National Historic Site,SD,MWR,,0,, 	45 , 	-00 ,,
MISS,Mississippi N River and Recreation Area,MN,MWR,,0,, 	6 ," 	9,504 ",,
MNRR,Missouri National Recreation River,SD,MWR,,0,, 	148 ," 	22,179 ",,
CRLA,Crater Lake National Park,OR,PWR,,1,1/24/11, 	9 ," 	515,008 ",,
CRMO,Craters of the Moon National Monument and Preserve,ID,PWR,,1,1/24/11," 	3,394 "," 	80,707 ",,
MOCA,Montezuma Castle National Monument,AZ,IMR,,0,, 	9 ," 	10,257 ",,
MOCR,Moores Creek National Battlefield,NC,SER,,0,," 	199,100 "," 	759,123 ",,
MORR,Morristown National Historic Park,NJ,NER,,0,, 	55 ," 	13,686 ",,
DEVA,Death Valley National Park,CA,PWR,,1,10/29/10, 	61 ," 	2,558,050 ",,
MORU,Mount Rushmore National Memorial,SD,MWR,,0,, 	62 ," 	46,130 ",,
DEP),Devils Postpile National Monument,CA,PWR,,1,10/29/10, 	0 ," 	2,823 ",,
MWR,MWR Regional Office,,MWR,,,, 	0 ," 	7,792 ",,
NATC,Natchez National Historic Park,MS,SER,,0,, 	1 ," 	9,922 ",,
NATT,Natchez Trace National Scenic Trail,TN,SER,,0,, 	328 ," 	3,921 ",,
NATR,Natchez Trace Parkway,TN,SER,,0,," 	75,000 "," 	184,850 ",,
EUON,Eugene O'Neil National Historic Site,CA,PWR,,1,8/11/10," 	3,466 "," 	1,065,313 ",,
FOPO,Fort Point National Historic Site,CA,PWR,,1,Dec-08, 	212 ," 	290,955 ",,
NPSA,National Park of American Samoa,HI,PWR,,0,, 	74 ," 	8,511 ",,
FOVA,Fort Vancouver National Historic Site,WA,PWR,,1,10/29/10, 	7 ," 	12,998 ",,
NABR,Natural Bridges National Monument,UT,IMR,,0,, 	-00 , 	-00 ,,
NAVA,Navajo National Monument,AZ,IMR,,0,," 	1,011 "," 	48,082 ",,
NEBE,New Bedford Whaling,MA,NER,,0,, 	160 ," 	634,227 ",,
JAZZ,New Orleans Jazz National Historic Park,LA,SER,,0,," 	249,561 "," 	413,953 ",,
GOGA,Golden Gate National Recreation Area,CA,PWR,,1,Dec-08," 	14,407 "," 	66,811 ",,
GRBA,Great Basin National Park,NV,PWR,,1,1/12/11," 	183,224 "," 	359,796 ",,
NICO,Nicodemus National Historic Site,KS,MWR,,0,," 	464,304 "," 	160,397 ",,
NISI,Ninety Six National Historic Site,SC,SER,,0,," 	3,373,042 "," 	603,378 ",,
NIOB,Niobrara National Scenic River,NE,MWR,,0,, 	798 ," 	67,400 ",,
NOAT,Noatak National Preserve,AK,AKR,,0,," 	19,333 ", 	-00 ,,
HALE,Haleakala National Park,HI,PWR,3/22/12,1,2010, 	13 ," 	2,098 ",,
OBRI,Obed Wild and Scenic River,TN,SER,,0,, 	29 ," 	1,276,137 ",,
OCMU,Ocmulgee National Monument,GA,SER,,0,, 	194 ," 	592,602 ",,
HAVO,Hawaii Volcanoes National Park,HI,PWR,,1,Feb-07," 	80,020 "," 	10,614,801 ",,
JODA,John Day Fossil Beds National Monument,OR,PWR,Apr-12,1,2010," 	77,180 "," 	69,311 ",,
ORPI,Organ Pipe Cactus National Monument,AZ,IMR,,0,," 	4,351 "," 	23,682 ",,
OZAR,Ozark National Scenic Riverways,MO,MWR,,0,," 	33,231 "," 	1,154,359 ",,
